Question,Answer 1,Answer 2
"Організаційні помилки на роботі постійно змушують нервувати, напружуватися, хвилюватися.",Так,Ні
"Сьогодні я задоволений своєю професією не менше, ніж на початку кар'єри.",Так,Ні
"Я помилився у виборі професії чи профілю діяльності (займаю не своє місце).",Так,Ні
"Мене турбує те, що я став гірше працювати (менш продуктивно, менш якісно, повільніше).",Так,Ні
"Теплота у взаємодії з партнерами дуже залежить від мого настрою.",Так,Ні
"Від мене, як від професіонала, мало залежить добробут партнерів.",Так,Ні
"Коли я приходжу з роботи додому, то деякий час (години 2-3) мені хочеться побути па самоті, щоб зі мною ніхто не спілкувався.",Так,Ні
"Коли я відчуваю втому чи напруження, то намагаюся швидше вирішити проблеми партнера (згорнути взаємодію).",Так,Ні
"Мені здається, що емоційно я не можу дати колегам того, що потребує професійний обов'язок.",Так,Ні
"Моя робота притупляє емоції.",Так,Ні
"Я відверто втомився від людських проблем, з якими доводиться мати справу па роботі.",Так,Ні
"Трапляється, я погано засинаю (сплю) через хвилювання, пов'язані з роботою.",Так,Ні
"Взаємодія з партнерами потребує від мене великого напруження.",Так,Ні
"Робота з людьми приносить мені все менше задоволення.",Так,Ні
"Я б змінив місце роботи, якби з'явилась така можливість.",Так,Ні
"Мене часто засмучує те, що я не можу на потрібному рівні надати професійну підтримку, послугу, допомогу.",Так,Ні
"Мені завжди вдається запобігти впливу поганого настрою наділові контакти.",Так,Ні
"Мене дуже засмучує ситуація, коли щось не йде на лад у стосунках з діловим партнером.",Так,Ні
"Я так стомлююся на роботі, ию вдома намагаюся спілкуватися якомога менше.",Так,Ні
"Через брак часу, втому та напруження часто приділяю партнеру менше уваги, ніж потрібно.",Так,Ні
"Іноді звичні ситуації спілкування на роботі дратують мене.",Так,Ні
"Я спокійно сприймаю обгрунтовані претензії партнерів.",Так,Ні
"Спілкування з партнерами спонукає мене уникати людей.",Так,Ні
"При згадці про деяких партнерів та колег, у мене псується настрій.",Так,Ні
"Конфлікти та суперечки з колегами віднімають багато сил та емоцій.",Так,Ні
"Мені все складніше встановлювати або підтримувати контакти з діловими партнерами.",Так,Ні
"Обставини на роботі мені здаються дуже складними і важкими.",Так,Ні
"У мене часто виникають тривожні очікування, пов'язані з роботою: щось має трапитися, як би не припуститися помилки, чи зможу зробити все як потрібно, чи не скоротять мене тощо.",Так,Ні
"Якщо партнер мені неприємний, то я намагаюсь обмежити час спілкування з ним, менше приділяти йому уваги.",Так,Ні
"У спілкуванні па роботі я дотримуюся принципу «не роби людям добра — не отримаєш зла».",Так,Ні
"Я з радістю розповідаю домашнім про свого роботу.",Так,Ні
"Трапляються дні, коли мій емоційний стан погано відображається на результатах роботи (менше працюю, знижується якість, виникають конфлікти).",Так,Ні
"Іноді я відчуваю, що потрібно поспівчувати партнерові, але не в змозі цього зробити.",Так,Ні
"Я дуже хвилююся за свою роботу.",Так,Ні
"Партнерам по роботі віддаю більше уваги та турботи, ніж отримую від них вдячності.",Так,Ні
"При одній згадці про роботу мені стає погано: починає колоти в області серця, підвищується тиск, виникає головний біль.",Так,Ні
