Question,Answer 1,Answer 2
"Чи рухлива Ви людина?",Так,Ні
"Чи завжди Ви можете відразу, без окремих роздумів, включитися в розмову?",Так,Ні
"Чи надаєте Ви перевагу самоті порівняно з великою компанією?",Так,Ні
"Чи відчуваєте Ви постійну потребу в діяльності?",Так,Ні
"Ваша мова звичайно повільна і некваплива?",Так,Ні
"Чи вразлива Ви людина?",Так,Ні
"Чи часто Ви не можете заснути через те, що посперечались із друзями?",Так,Ні
"Ви завжди хочете чимось займатися у вільний час?",Так,Ні
"Чи часто Ваша мова передує Вашій думці під час розмови з іншими людьми?",Так,Ні
"Чи дратує Вас швидка мова співрозмовника?",Так,Ні
"Чи почувалися б Ви нещасною людиною, коли б на тривалий час Вас було позбавлено можливості спілкуватися з людьми?",Так,Ні
"Ви коли-небудь запізнювалися на побачення чи на роботу?",Так,Ні
"Чи подобається Вам швидко бігати?",Так,Ні
"Чи дуже Ви хвилюєтеся через розлад у роботі?",Так,Ні
"Чи легко Вам виконувати роботу, яка вимагає тривалої уваги та великої зосередженості?",Так,Ні
"Чи важко Вам говорити дуже швидко?",Так,Ні
"Чи часто Ви відчуваєте занепокоєння, що виконали роботу не так, як треба?",Так,Ні
"Чи часто Ваші думки перескакують з однієї на іншу під час розмови?",Так,Ні
"Чи подобаються Вам ігри, які вимагають швидкості та спритності?",Так,Ні
"Чи легко Ви можете знайти інші варіанти вирішення відомого завдання?",Так,Ні
"Чи зазнаєте Ви почуття неспокою, що Вас неправильно зрозуміли під час розмови?",Так,Ні
"Чи охоче Ви виконуєте складну, відповідальну роботу?",Так,Ні
"Чи буває, що Ви говорите про речі, на яких не розумієтеся?",Так,Ні
"Чи легко Ви сприймаєте швидку мову?",Так,Ні
"Чи легко Вам виконувати одночасно дуже багато справ?",Так,Ні
"Чи виникають у Вас конфлікти з друзями через те, що Ви сказали їм щось, не обміркувавши?",Так,Ні
"Чи надаєте Ви перевагу легким справам, які не вимагають від Вас багато енергії?",Так,Ні
"Чи легко Ви засмучуєтеся, коли виявляєте незначні недоліки у своїй роботі?",Так,Ні
"Чи полюбляєте Ви сидячу роботу?",Так,Ні
"Чи легко Вам спілкуватися з різними людьми?",Так,Ні
"Ви завжди надаєте перевагу роздуму, зважуєте всі «за» і «проти» і тільки тоді висловлюєте свою думку?",Так,Ні
"Чи всі Ваші звички гарні та бажані?",Так,Ні
"Чи швидкий у Вас рух рук?",Так,Ні
"Ви завжди мовчите і не контактуєте, коли перебуваєте в товаристві малознайомих людей?",Так,Ні
"Чи легко Вам переключатися з одного варіанту вирішення завдання на інший?",Так,Ні
"Чи схильні Ви іноді перебільшувати у своїй уяві негативне ставлення близьких Вам людей?",Так,Ні
"Ви говірка людина?",Так,Ні
